{},E,"Subscript[""C"", ""4""]","Subscript[""C"", ""2""]","Subsuperscript[""C"", ""2"", ""'""]","Subsuperscript[""C"", ""2"", ""''""]",inv,"Subscript[""S"", ""4""]","Subscript[""σ"", ""h""]","Subscript[""σ"", ""v""]","Subscript[""σ"", ""d""]"
Conjugacy,1,2,1,2,2,1,2,1,2,2
A_1g,1,1,1,1,1,1,1,1,1,1
A_2g,1,1,1,-1,-1,1,1,1,-1,-1
B_1g,1,-1,1,1,-1,1,-1,1,1,-1
B_2g,1,-1,1,-1,1,1,-1,1,-1,1
E_g,2,0,-2,0,0,2,0,-2,0,0
A_1u,1,1,1,1,1,-1,-1,-1,-1,-1
A_2u,1,1,1,-1,-1,-1,-1,-1,1,1
B_1u,1,-1,1,1,-1,-1,1,-1,-1,1
B_2u,1,-1,1,-1,1,-1,1,-1,1,-1
E_u,2,0,-2,0,0,-2,0,2,0,0
