{},E,"Subscript[""C"", ""6""]","Subscript[""C"", ""3""]","Subscript[""C"", ""2""]","Subsuperscript[""C"", ""3"", ""2""]","Subsuperscript[""C"", ""6"", ""5""]",inv,"Subsuperscript[""S"", ""3"", ""5""]","Subsuperscript[""S"", ""6"", ""5""]","Subscript[""σ"", ""h""]","Subscript[""S"", ""6""]","Subscript[""S"", ""3""]"
Conjugacy,1,1,1,1,1,1,1,1,1,1,1,1
"Subscript[""A"", ""g""]",1,1,1,1,1,1,1,1,1,1,1,1
"Subscript[""B"", ""g""]",1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
"Subscript[""E"", ""1g""]",1,E^((I/3)*Pi),E^(((2*I)/3)*Pi),-1,E^(((-2*I)/3)*Pi),E^((-I/3)*Pi),1,E^((I/3)*Pi),E^(((2*I)/3)*Pi),-1,E^(((-2*I)/3)*Pi),E^((-I/3)*Pi)
"Subscript[""E"", ""2g""]",1,E^((-I/3)*Pi),E^(((-2*I)/3)*Pi),-1,E^(((2*I)/3)*Pi),E^((I/3)*Pi),1,E^((-I/3)*Pi),E^(((-2*I)/3)*Pi),-1,E^(((2*I)/3)*Pi),E^((I/3)*Pi)
"Subscript[""E"", ""3g""]",1,E^(((2*I)/3)*Pi),E^(((-2*I)/3)*Pi),1,E^(((2*I)/3)*Pi),E^(((-2*I)/3)*Pi),1,E^(((2*I)/3)*Pi),E^(((-2*I)/3)*Pi),1,E^(((2*I)/3)*Pi),E^(((-2*I)/3)*Pi)
"Subscript[""E"", ""4g""]",1,E^(((-2*I)/3)*Pi),E^(((2*I)/3)*Pi),1,E^(((-2*I)/3)*Pi),E^(((2*I)/3)*Pi),1,E^(((-2*I)/3)*Pi),E^(((2*I)/3)*Pi),1,E^(((-2*I)/3)*Pi),E^(((2*I)/3)*Pi)
"Subscript[""A"", ""u""]",1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
"Subscript[""B"", ""u""]",1,-1,1,-1,1,-1,-1,1,-1,1,-1,1
"Subscript[""E"", ""1u""]",1,E^((I/3)*Pi),E^(((2*I)/3)*Pi),-1,E^(((-2*I)/3)*Pi),E^((-I/3)*Pi),-1,-E^((I/3)*Pi),-E^(((2*I)/3)*Pi),1,-E^(((-2*I)/3)*Pi),-E^((-I/3)*Pi)
"Subscript[""E"", ""2u""]",1,E^((-I/3)*Pi),E^(((-2*I)/3)*Pi),-1,E^(((2*I)/3)*Pi),E^((I/3)*Pi),-1,-E^((-I/3)*Pi),-E^(((-2*I)/3)*Pi),1,-E^(((2*I)/3)*Pi),-E^((I/3)*Pi)
"Subscript[""E"", ""3u""]",1,E^(((2*I)/3)*Pi),E^(((-2*I)/3)*Pi),1,E^(((2*I)/3)*Pi),E^(((-2*I)/3)*Pi),-1,-E^(((2*I)/3)*Pi),-E^(((-2*I)/3)*Pi),-1,-E^(((2*I)/3)*Pi),-E^(((-2*I)/3)*Pi)
"Subscript[""E"", ""4u""]",1,E^(((-2*I)/3)*Pi),E^(((2*I)/3)*Pi),1,E^(((-2*I)/3)*Pi),E^(((2*I)/3)*Pi),-1,-E^(((-2*I)/3)*Pi),-E^(((2*I)/3)*Pi),-1,-E^(((-2*I)/3)*Pi),-E^(((2*I)/3)*Pi)
