{},E,"Subscript[""C"", ""6""]","Subscript[""C"", ""3""]","Subscript[""C"", ""2""]","Subsuperscript[""C"", ""2"", ""'""]","Subsuperscript[""C"", ""2"", ""''""]",inv,"Subscript[""S"", ""3""]","Subscript[""S"", ""6""]","Subscript[""σ"", ""h""]","Subsuperscript[""σ"", ""d"", ""'""]","Subscript[""σ"", ""v""]"
Conjugacy,1,2,2,1,3,3,1,2,2,1,3,3
"Subscript[""A"", ""1g""]",1,1,1,1,1,1,1,1,1,1,1,1
"Subscript[""A"", ""2g""]",1,1,1,1,-1,-1,1,1,1,1,-1,-1
"Subscript[""B"", ""1g""]",1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
"Subscript[""B"", ""2g""]",1,-1,1,-1,-1,1,1,-1,1,-1,-1,1
"Subscript[""E"", ""1g""]",2,1,-1,-2,0,0,2,1,-1,-2,0,0
"Subscript[""E"", ""2g""]",2,-1,-1,2,0,0,2,-1,-1,2,0,0
"Subscript[""A"", ""1u""]",1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
"Subscript[""A"", ""2u""]",1,1,1,1,-1,-1,-1,-1,-1,-1,1,1
"Subscript[""B"", ""1u""]",1,-1,1,-1,1,-1,-1,1,-1,1,-1,1
"Subscript[""B"", ""2u""]",1,-1,1,-1,-1,1,-1,1,-1,1,1,-1
"Subscript[""E"", ""1u""]",2,1,-1,-2,0,0,-2,-1,1,2,0,0
"Subscript[""E"", ""2u""]",2,-1,-1,2,0,0,-2,1,1,-2,0,0
