{},E,"Subscript[""C"", ""3""]","Subscript[""C"", ""2""]","Subsuperscript[""C"", ""2"", ""'""]","Subscript[""C"", ""4""]",inv,"Subscript[""S"", ""6""]","Subscript[""σ"", ""h""]","Subscript[""σ"", ""d""]","Subscript[""S"", ""4""]"
Conjugacy,1,8,3,6,6,1,8,3,6,6
"Subscript[""A"", ""1g""]",1,1,1,1,1,1,1,1,1,1
"Subscript[""A"", ""2g""]",1,1,1,-1,-1,1,1,1,-1,-1
"Subscript[""E"", ""g""]",2,-1,2,0,0,2,-1,2,0,0
"Subscript[""T"", ""1g""]",3,0,-1,-1,1,3,0,-1,-1,1
"Subscript[""T"", ""2g""]",3,0,-1,1,-1,3,0,-1,1,-1
"Subscript[""A"", ""1u""]",1,1,1,1,1,-1,-1,-1,-1,-1
"Subscript[""A"", ""2u""]",1,1,1,-1,-1,-1,-1,-1,1,1
"Subscript[""E"", ""u""]",2,-1,2,0,0,-2,1,-2,0,0
"Subscript[""T"", ""1u""]",3,0,-1,-1,1,-3,0,1,1,-1
"Subscript[""T"", ""2u""]",3,0,-1,1,-1,-3,0,1,-1,1
