E,"{1, 0, 0}","{0, 1, 0}","{0, 0, 1}"
"Subsuperscript[""C"", ""2"", ""x""]","{1, 0, 0}","{0, -1, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2"", ""y""]","{-1, 0, 0}","{0, 1, 0}","{0, 0, -1}"
"Subsuperscript[""C"", ""2"", ""z""]","{-1, 0, 0}","{0, -1, 0}","{0, 0, 1}"
"Subscript[""C"", ""3a""]","{0, 0, 1}","{1, 0, 0}","{0, 1, 0}"
"Subscript[""C"", ""3b""]","{0, 0, -1}","{1, 0, 0}","{0, -1, 0}"
"Subscript[""C"", ""3c""]","{0, 0, 1}","{-1, 0, 0}","{0, -1, 0}"
"Subscript[""C"", ""3d""]","{0, 0, -1}","{-1, 0, 0}","{0, 1, 0}"
"Subsuperscript[""C"", ""3a"", ""2""]","{0, 1, 0}","{0, 0, 1}","{1, 0, 0}"
"Subsuperscript[""C"", ""3b"", ""2""]","{0, 1, 0}","{0, 0, -1}","{-1, 0, 0}"
"Subsuperscript[""C"", ""3c"", ""2""]","{0, -1, 0}","{0, 0, -1}","{1, 0, 0}"
"Subsuperscript[""C"", ""3d"", ""2""]","{0, -1, 0}","{0, 0, 1}","{-1, 0, 0}"
inv,"{-1, 0, 0}","{0, -1, 0}","{0, 0, -1}"
"Subsuperscript[""σ"", ""v"", ""x""]","{-1, 0, 0}","{0, 1, 0}","{0, 0, 1}"
"Subsuperscript[""σ"", ""v"", ""y""]","{1, 0, 0}","{0, -1, 0}","{0, 0, 1}"
"Subsuperscript[""σ"", ""h"", ""z""]","{1, 0, 0}","{0, 1, 0}","{0, 0, -1}"
"Subscript[""S"", ""6a""]","{0, -1, 0}","{0, 0, -1}","{-1, 0, 0}"
"Subscript[""S"", ""6b""]","{0, -1, 0}","{0, 0, 1}","{1, 0, 0}"
"Subscript[""S"", ""6c""]","{0, 1, 0}","{0, 0, 1}","{-1, 0, 0}"
"Subscript[""S"", ""6d""]","{0, 1, 0}","{0, 0, -1}","{1, 0, 0}"
"Subsuperscript[""S"", ""6a"", ""5""]","{0, 0, -1}","{-1, 0, 0}","{0, -1, 0}"
"Subsuperscript[""S"", ""6b"", ""5""]","{0, 0, 1}","{-1, 0, 0}","{0, 1, 0}"
"Subsuperscript[""S"", ""6c"", ""5""]","{0, 0, -1}","{1, 0, 0}","{0, 1, 0}"
"Subsuperscript[""S"", ""6d"", ""5""]","{0, 0, 1}","{1, 0, 0}","{0, -1, 0}"
