,l,n,l^n,label,S,L,idx,multiS,multiL,multiLS,seniority,R5,R7,G2,variants,variant
0,1,1,p^1,2P,1/2,1,1,2,3,6,1,,,,1,
1,1,2,p^2,1S,0,0,1,1,1,1,0,,,,1,
2,1,2,p^2,1D,0,2,1,1,5,5,2,,,,1,
3,1,2,p^2,3P,1,1,1,3,3,9,2,,,,1,
4,1,3,p^3,2P,1/2,1,1,2,3,6,1,,,,1,
5,1,3,p^3,2D,1/2,2,1,2,5,10,3,,,,1,
6,1,3,p^3,4S,3/2,0,1,4,1,4,3,,,,1,
7,2,1,d^1,2D,1/2,2,1,2,5,10,1,"(1, 0)",,,1,
8,2,2,d^2,1S,0,0,1,1,1,1,0,"(0, 0)",,,1,
9,2,2,d^2,1D,0,2,1,1,5,5,2,"(2, 0)",,,1,
10,2,2,d^2,1G,0,4,1,1,9,9,2,"(2, 0)",,,1,
11,2,2,d^2,3P,1,1,1,3,3,9,2,"(1, 1)",,,1,
12,2,2,d^2,3F,1,3,1,3,7,21,2,"(1, 1)",,,1,
13,2,3,d^3,2P,1/2,1,1,2,3,6,3,"(2, 1)",,,1,
14,2,3,d^3,2D1,1/2,2,1,2,5,10,1,"(1, 0)",,,1,
15,2,3,d^3,2D2,1/2,2,2,2,5,10,3,"(2, 1)",,,1,
16,2,3,d^3,2F,1/2,3,1,2,7,14,3,"(2, 1)",,,1,
17,2,3,d^3,2G,1/2,4,1,2,9,18,3,"(2, 1)",,,1,
18,2,3,d^3,2H,1/2,5,1,2,11,22,3,"(2, 1)",,,1,
19,2,3,d^3,4P,3/2,1,1,4,3,12,3,"(1, 1)",,,1,
20,2,3,d^3,4F,3/2,3,1,4,7,28,3,"(1, 1)",,,1,
21,2,4,d^4,1S1,0,0,1,1,1,1,0,"(0, 0)",,,1,
22,2,4,d^4,1S2,0,0,2,1,1,1,4,"(2, 2)",,,1,
23,2,4,d^4,1D1,0,2,1,1,5,5,2,"(2, 0)",,,1,
24,2,4,d^4,1D2,0,2,2,1,5,5,4,"(2, 2)",,,1,
25,2,4,d^4,1F,0,3,1,1,7,7,4,"(2, 2)",,,1,
26,2,4,d^4,1G1,0,4,1,1,9,9,2,"(2, 0)",,,1,
27,2,4,d^4,1G2,0,4,2,1,9,9,4,"(2, 2)",,,1,
28,2,4,d^4,1I,0,6,1,1,13,13,4,"(2, 2)",,,1,
29,2,4,d^4,3P1,1,1,1,3,3,9,2,"(1, 1)",,,1,
30,2,4,d^4,3P2,1,1,2,3,3,9,4,"(2, 1)",,,1,
31,2,4,d^4,3D,1,2,1,3,5,15,4,"(2, 1)",,,1,
32,2,4,d^4,3F1,1,3,1,3,7,21,2,"(1, 1)",,,1,
33,2,4,d^4,3F2,1,3,2,3,7,21,4,"(2, 1)",,,1,
34,2,4,d^4,3G,1,4,1,3,9,27,4,"(2, 1)",,,1,
35,2,4,d^4,3H,1,5,1,3,11,33,4,"(2, 1)",,,1,
36,2,4,d^4,5D,2,2,1,5,5,25,4,"(1, 0)",,,1,
37,2,5,d^5,2S,1/2,0,1,2,1,2,5,"(2, 2)",,,1,
38,2,5,d^5,2P,1/2,1,1,2,3,6,3,"(2, 1)",,,1,
39,2,5,d^5,2D1,1/2,2,1,2,5,10,1,"(1, 0)",,,1,
40,2,5,d^5,2D2,1/2,2,2,2,5,10,3,"(2, 1)",,,1,
41,2,5,d^5,2D3,1/2,2,3,2,5,10,5,"(2, 2)",,,1,
42,2,5,d^5,2F1,1/2,3,1,2,7,14,3,"(2, 1)",,,1,
43,2,5,d^5,2F2,1/2,3,2,2,7,14,5,"(2, 2)",,,1,
44,2,5,d^5,2G1,1/2,4,1,2,9,18,3,"(2, 1)",,,1,
45,2,5,d^5,2G2,1/2,4,2,2,9,18,5,"(2, 2)",,,1,
46,2,5,d^5,2H,1/2,5,1,2,11,22,3,"(2, 1)",,,1,
47,2,5,d^5,2I,1/2,6,1,2,13,26,5,"(2, 2)",,,1,
48,2,5,d^5,4P,3/2,1,1,4,3,12,3,"(1, 1)",,,1,
49,2,5,d^5,4D,3/2,2,1,4,5,20,5,"(2, 0)",,,1,
50,2,5,d^5,4F,3/2,3,1,4,7,28,3,"(1, 1)",,,1,
51,2,5,d^5,4G,3/2,4,1,4,9,36,5,"(2, 0)",,,1,
52,2,5,d^5,6S,5/2,0,1,6,1,6,5,"(0, 0)",,,1,
53,3,1,f^1,2F,1/2,3,1,2,7,14,1,,"(1, 0, 0)","(1, 0)",1,A
54,3,2,f^2,1S,0,0,1,1,1,1,0,,"(0, 0, 0)","(0, 0)",1,A
55,3,2,f^2,1D,0,2,1,1,5,5,2,,"(2, 0, 0)","(2, 0)",1,A
56,3,2,f^2,1G,0,4,1,1,9,9,2,,"(2, 0, 0)","(2, 0)",1,A
57,3,2,f^2,1I,0,6,1,1,13,13,2,,"(2, 0, 0)","(2, 0)",1,A
58,3,2,f^2,3P,1,1,1,3,3,9,2,,"(1, 1, 0)","(1, 1)",1,A
59,3,2,f^2,3F,1,3,1,3,7,21,2,,"(1, 1, 0)","(1, 0)",1,A
60,3,2,f^2,3H,1,5,1,3,11,33,2,,"(1, 1, 0)","(1, 1)",1,A
61,3,3,f^3,2P,1/2,1,1,2,3,6,3,,"(2, 1, 0)","(1, 1)",1,A
62,3,3,f^3,2D1,1/2,2,1,2,5,10,3,,"(2, 1, 0)","(2, 0)",1,A
63,3,3,f^3,2D2,1/2,2,2,2,5,10,3,,"(2, 1, 0)","(2, 1)",1,A
64,3,3,f^3,2F1,1/2,3,1,2,7,14,1,,"(1, 0, 0)","(1, 0)",1,A
65,3,3,f^3,2F2,1/2,3,2,2,7,14,3,,"(2, 1, 0)","(2, 1)",1,A
66,3,3,f^3,2G1,1/2,4,1,2,9,18,3,,"(2, 1, 0)","(2, 0)",1,A
67,3,3,f^3,2G2,1/2,4,2,2,9,18,3,,"(2, 1, 0)","(2, 1)",1,A
68,3,3,f^3,2H1,1/2,5,1,2,11,22,3,,"(2, 1, 0)","(1, 1)",1,A
69,3,3,f^3,2H2,1/2,5,2,2,11,22,3,,"(2, 1, 0)","(2, 1)",1,A
70,3,3,f^3,2I,1/2,6,1,2,13,26,3,,"(2, 1, 0)","(2, 0)",1,A
71,3,3,f^3,2K,1/2,7,1,2,15,30,3,,"(2, 1, 0)","(2, 1)",1,A
72,3,3,f^3,2L,1/2,8,1,2,17,34,3,,"(2, 1, 0)","(2, 1)",1,A
73,3,3,f^3,4S,3/2,0,1,4,1,4,3,,"(1, 1, 1)","(0, 0)",1,A
74,3,3,f^3,4D,3/2,2,1,4,5,20,3,,"(1, 1, 1)","(2, 0)",1,A
75,3,3,f^3,4F,3/2,3,1,4,7,28,3,,"(1, 1, 1)","(1, 0)",1,A
76,3,3,f^3,4G,3/2,4,1,4,9,36,3,,"(1, 1, 1)","(2, 0)",1,A
77,3,3,f^3,4I,3/2,6,1,4,13,52,3,,"(1, 1, 1)","(2, 0)",1,A
78,3,4,f^4,1S1,0,0,1,1,1,1,0,,"(0, 0, 0)","(0, 0)",1,A
79,3,4,f^4,1S2,0,0,2,1,1,1,4,,"(2, 2, 0)","(2, 2)",1,A
80,3,4,f^4,1D1,0,2,1,1,5,5,2,,"(2, 0, 0)","(2, 0)",1,A
81,3,4,f^4,1D2,0,2,2,1,5,5,4,,"(2, 2, 0)","(2, 0)",1,A
82,3,4,f^4,1D3,0,2,3,1,5,5,4,,"(2, 2, 0)","(2, 1)",1,A
83,3,4,f^4,1D4,0,2,4,1,5,5,4,,"(2, 2, 0)","(2, 2)",1,A
84,3,4,f^4,1F,0,3,1,1,7,7,4,,"(2, 2, 0)","(2, 1)",1,A
85,3,4,f^4,1G1,0,4,1,1,9,9,2,,"(2, 0, 0)","(2, 0)",1,A
86,3,4,f^4,1G2,0,4,2,1,9,9,4,,"(2, 2, 0)","(2, 0)",1,A
87,3,4,f^4,1G3,0,4,3,1,9,9,4,,"(2, 2, 0)","(2, 1)",1,A
88,3,4,f^4,1G4,0,4,4,1,9,9,4,,"(2, 2, 0)","(2, 2)",1,A
89,3,4,f^4,1H1,0,5,1,1,11,11,4,,"(2, 2, 0)","(2, 1)",1,A
90,3,4,f^4,1H2,0,5,2,1,11,11,4,,"(2, 2, 0)","(2, 2)",1,A
91,3,4,f^4,1I1,0,6,1,1,13,13,2,,"(2, 0, 0)","(2, 0)",1,A
92,3,4,f^4,1I2,0,6,2,1,13,13,4,,"(2, 2, 0)","(2, 0)",1,A
93,3,4,f^4,1I3,0,6,3,1,13,13,4,,"(2, 2, 0)","(2, 2)",1,A
94,3,4,f^4,1K,0,7,1,1,15,15,4,,"(2, 2, 0)","(2, 1)",1,A
95,3,4,f^4,1L1,0,8,1,1,17,17,4,,"(2, 2, 0)","(2, 1)",1,A
96,3,4,f^4,1L2,0,8,2,1,17,17,4,,"(2, 2, 0)","(2, 2)",1,A
97,3,4,f^4,1N,0,10,1,1,21,21,4,,"(2, 2, 0)","(2, 2)",1,A
98,3,4,f^4,3P1,1,1,1,3,3,9,2,,"(1, 1, 0)","(1, 1)",1,A
99,3,4,f^4,3P2,1,1,2,3,3,9,4,,"(2, 1, 1)","(1, 1)",1,A
100,3,4,f^4,3P3,1,1,3,3,3,9,4,,"(2, 1, 1)","(3, 0)",1,A
101,3,4,f^4,3D1,1,2,1,3,5,15,4,,"(2, 1, 1)","(2, 0)",1,A
102,3,4,f^4,3D2,1,2,2,3,5,15,4,,"(2, 1, 1)","(2, 1)",1,A
103,3,4,f^4,3F1,1,3,1,3,7,21,2,,"(1, 1, 0)","(1, 0)",1,A
104,3,4,f^4,3F2,1,3,2,3,7,21,4,,"(2, 1, 1)","(1, 0)",1,A
105,3,4,f^4,3F3,1,3,3,3,7,21,4,,"(2, 1, 1)","(2, 1)",1,A
106,3,4,f^4,3F4,1,3,4,3,7,21,4,,"(2, 1, 1)","(3, 0)",1,A
107,3,4,f^4,3G1,1,4,1,3,9,27,4,,"(2, 1, 1)","(2, 0)",1,A
108,3,4,f^4,3G2,1,4,2,3,9,27,4,,"(2, 1, 1)","(2, 1)",1,A
109,3,4,f^4,3G3,1,4,3,3,9,27,4,,"(2, 1, 1)","(3, 0)",1,A
110,3,4,f^4,3H1,1,5,1,3,11,33,2,,"(1, 1, 0)","(1, 1)",1,A
111,3,4,f^4,3H2,1,5,2,3,11,33,4,,"(2, 1, 1)","(1, 1)",1,A
112,3,4,f^4,3H3,1,5,3,3,11,33,4,,"(2, 1, 1)","(2, 1)",1,A
113,3,4,f^4,3H4,1,5,4,3,11,33,4,,"(2, 1, 1)","(3, 0)",1,A
114,3,4,f^4,3I1,1,6,1,3,13,39,4,,"(2, 1, 1)","(2, 0)",1,A
115,3,4,f^4,3I2,1,6,2,3,13,39,4,,"(2, 1, 1)","(3, 0)",1,A
116,3,4,f^4,3K1,1,7,1,3,15,45,4,,"(2, 1, 1)","(2, 1)",1,A
117,3,4,f^4,3K2,1,7,2,3,15,45,4,,"(2, 1, 1)","(3, 0)",1,A
118,3,4,f^4,3L,1,8,1,3,17,51,4,,"(2, 1, 1)","(2, 1)",1,A
119,3,4,f^4,3M,1,9,1,3,19,57,4,,"(2, 1, 1)","(3, 0)",1,A
120,3,4,f^4,5S,2,0,1,5,1,5,4,,"(1, 1, 1)","(0, 0)",1,A
121,3,4,f^4,5D,2,2,1,5,5,25,4,,"(1, 1, 1)","(2, 0)",1,A
122,3,4,f^4,5F,2,3,1,5,7,35,4,,"(1, 1, 1)","(1, 0)",1,A
123,3,4,f^4,5G,2,4,1,5,9,45,4,,"(1, 1, 1)","(2, 0)",1,A
124,3,4,f^4,5I,2,6,1,5,13,65,4,,"(1, 1, 1)","(2, 0)",1,A
125,3,5,f^5,2P1,1/2,1,1,2,3,6,3,,"(2, 1, 0)","(1, 1)",1,A
126,3,5,f^5,2P2,1/2,1,2,2,3,6,5,,"(2, 2, 1)","(1, 1)",1,A
127,3,5,f^5,2P3,1/2,1,3,2,3,6,5,,"(2, 2, 1)","(3, 0)",1,A
128,3,5,f^5,2P4,1/2,1,4,2,3,6,5,,"(2, 2, 1)","(3, 1)",1,A
129,3,5,f^5,2D1,1/2,2,1,2,5,10,3,,"(2, 1, 0)","(2, 0)",1,A
130,3,5,f^5,2D2,1/2,2,2,2,5,10,3,,"(2, 1, 0)","(2, 1)",1,A
131,3,5,f^5,2D3,1/2,2,3,2,5,10,5,,"(2, 2, 1)","(2, 0)",1,A
132,3,5,f^5,2D4,1/2,2,4,2,5,10,5,,"(2, 2, 1)","(2, 1)",1,A
133,3,5,f^5,2D5,1/2,2,5,2,5,10,5,,"(2, 2, 1)","(3, 1)",1,A
134,3,5,f^5,2F1,1/2,3,1,2,7,14,1,,"(1, 0, 0)","(1, 0)",1,A
135,3,5,f^5,2F2,1/2,3,2,2,7,14,3,,"(2, 1, 0)","(2, 1)",1,A
136,3,5,f^5,2F3,1/2,3,3,2,7,14,5,,"(2, 2, 1)","(1, 0)",1,A
137,3,5,f^5,2F4,1/2,3,4,2,7,14,5,,"(2, 2, 1)","(2, 1)",1,A
138,3,5,f^5,2F5,1/2,3,5,2,7,14,5,,"(2, 2, 1)","(3, 0)",1,A
139,3,5,f^5,2F6,1/2,3,6,2,7,14,5,,"(2, 2, 1)","(3, 1)",2,A
140,3,5,f^5,2F7,1/2,3,7,2,7,14,5,,"(2, 2, 1)","(3, 1)",2,B
141,3,5,f^5,2G1,1/2,4,1,2,9,18,3,,"(2, 1, 0)","(2, 0)",1,A
142,3,5,f^5,2G2,1/2,4,2,2,9,18,3,,"(2, 1, 0)","(2, 1)",1,A
143,3,5,f^5,2G3,1/2,4,3,2,9,18,5,,"(2, 2, 1)","(2, 0)",1,A
144,3,5,f^5,2G4,1/2,4,4,2,9,18,5,,"(2, 2, 1)","(2, 1)",1,A
145,3,5,f^5,2G5,1/2,4,5,2,9,18,5,,"(2, 2, 1)","(3, 0)",1,A
146,3,5,f^5,2G6,1/2,4,6,2,9,18,5,,"(2, 2, 1)","(3, 1)",1,A
147,3,5,f^5,2H1,1/2,5,1,2,11,22,3,,"(2, 1, 0)","(1, 1)",1,A
148,3,5,f^5,2H2,1/2,5,2,2,11,22,3,,"(2, 1, 0)","(2, 1)",1,A
149,3,5,f^5,2H3,1/2,5,3,2,11,22,5,,"(2, 2, 1)","(1, 1)",1,A
150,3,5,f^5,2H4,1/2,5,4,2,11,22,5,,"(2, 2, 1)","(2, 1)",1,A
151,3,5,f^5,2H5,1/2,5,5,2,11,22,5,,"(2, 2, 1)","(3, 0)",1,A
152,3,5,f^5,2H6,1/2,5,6,2,11,22,5,,"(2, 2, 1)","(3, 1)",2,A
153,3,5,f^5,2H7,1/2,5,7,2,11,22,5,,"(2, 2, 1)","(3, 1)",2,B
154,3,5,f^5,2I1,1/2,6,1,2,13,26,3,,"(2, 1, 0)","(2, 0)",1,A
155,3,5,f^5,2I2,1/2,6,2,2,13,26,5,,"(2, 2, 1)","(2, 0)",1,A
156,3,5,f^5,2I3,1/2,6,3,2,13,26,5,,"(2, 2, 1)","(3, 0)",1,A
157,3,5,f^5,2I4,1/2,6,4,2,13,26,5,,"(2, 2, 1)","(3, 1)",2,A
158,3,5,f^5,2I5,1/2,6,5,2,13,26,5,,"(2, 2, 1)","(3, 1)",2,B
159,3,5,f^5,2K1,1/2,7,1,2,15,30,3,,"(2, 1, 0)","(2, 1)",1,A
160,3,5,f^5,2K2,1/2,7,2,2,15,30,5,,"(2, 2, 1)","(2, 1)",1,A
161,3,5,f^5,2K3,1/2,7,3,2,15,30,5,,"(2, 2, 1)","(3, 0)",1,A
162,3,5,f^5,2K4,1/2,7,4,2,15,30,5,,"(2, 2, 1)","(3, 1)",2,A
163,3,5,f^5,2K5,1/2,7,5,2,15,30,5,,"(2, 2, 1)","(3, 1)",2,B
164,3,5,f^5,2L1,1/2,8,1,2,17,34,3,,"(2, 1, 0)","(2, 1)",1,A
165,3,5,f^5,2L2,1/2,8,2,2,17,34,5,,"(2, 2, 1)","(2, 1)",1,A
166,3,5,f^5,2L3,1/2,8,3,2,17,34,5,,"(2, 2, 1)","(3, 1)",1,A
167,3,5,f^5,2M1,1/2,9,1,2,19,38,5,,"(2, 2, 1)","(3, 0)",1,A
168,3,5,f^5,2M2,1/2,9,2,2,19,38,5,,"(2, 2, 1)","(3, 1)",1,A
169,3,5,f^5,2N,1/2,10,1,2,21,42,5,,"(2, 2, 1)","(3, 1)",1,A
170,3,5,f^5,2O,1/2,11,1,2,23,46,5,,"(2, 2, 1)","(3, 1)",1,A
171,3,5,f^5,4S,3/2,0,1,4,1,4,3,,"(1, 1, 1)","(0, 0)",1,A
172,3,5,f^5,4P1,3/2,1,1,4,3,12,5,,"(2, 1, 1)","(1, 1)",1,A
173,3,5,f^5,4P2,3/2,1,2,4,3,12,5,,"(2, 1, 1)","(3, 0)",1,A
174,3,5,f^5,4D1,3/2,2,1,4,5,20,3,,"(1, 1, 1)","(2, 0)",1,A
175,3,5,f^5,4D2,3/2,2,2,4,5,20,5,,"(2, 1, 1)","(2, 0)",1,A
176,3,5,f^5,4D3,3/2,2,3,4,5,20,5,,"(2, 1, 1)","(2, 1)",1,A
177,3,5,f^5,4F1,3/2,3,1,4,7,28,3,,"(1, 1, 1)","(1, 0)",1,A
178,3,5,f^5,4F2,3/2,3,2,4,7,28,5,,"(2, 1, 1)","(1, 0)",1,A
179,3,5,f^5,4F3,3/2,3,3,4,7,28,5,,"(2, 1, 1)","(2, 1)",1,A
180,3,5,f^5,4F4,3/2,3,4,4,7,28,5,,"(2, 1, 1)","(3, 0)",1,A
181,3,5,f^5,4G1,3/2,4,1,4,9,36,3,,"(1, 1, 1)","(2, 0)",1,A
182,3,5,f^5,4G2,3/2,4,2,4,9,36,5,,"(2, 1, 1)","(2, 0)",1,A
183,3,5,f^5,4G3,3/2,4,3,4,9,36,5,,"(2, 1, 1)","(2, 1)",1,A
184,3,5,f^5,4G4,3/2,4,4,4,9,36,5,,"(2, 1, 1)","(3, 0)",1,A
185,3,5,f^5,4H1,3/2,5,1,4,11,44,5,,"(2, 1, 1)","(1, 1)",1,A
186,3,5,f^5,4H2,3/2,5,2,4,11,44,5,,"(2, 1, 1)","(2, 1)",1,A
187,3,5,f^5,4H3,3/2,5,3,4,11,44,5,,"(2, 1, 1)","(3, 0)",1,A
188,3,5,f^5,4I1,3/2,6,1,4,13,52,3,,"(1, 1, 1)","(2, 0)",1,A
189,3,5,f^5,4I2,3/2,6,2,4,13,52,5,,"(2, 1, 1)","(2, 0)",1,A
190,3,5,f^5,4I3,3/2,6,3,4,13,52,5,,"(2, 1, 1)","(3, 0)",1,A
191,3,5,f^5,4K1,3/2,7,1,4,15,60,5,,"(2, 1, 1)","(2, 1)",1,A
192,3,5,f^5,4K2,3/2,7,2,4,15,60,5,,"(2, 1, 1)","(3, 0)",1,A
193,3,5,f^5,4L,3/2,8,1,4,17,68,5,,"(2, 1, 1)","(2, 1)",1,A
