l n daughter parent cfp_float
1 2 3P1 2P1 1.000000000000000000000000E+00
1 2 1S1 2P1 1.000000000000000000000000E+00
1 2 1D1 2P1 1.000000000000000000000000E+00
1 3 4S1 3P1 1.000000000000000000000000E+00
1 3 2P1 3P1 -7.071067811865475727373109E-01
1 3 2P1 1S1 4.714045207910316781507731E-01
1 3 2P1 1D1 -5.270462766947299204645105E-01
1 3 2D1 3P1 7.071067811865475727373109E-01
1 3 2D1 1D1 -7.071067811865475727373109E-01
2 2 3P1 2D1 1.000000000000000000000000E+00
2 2 3F1 2D1 1.000000000000000000000000E+00
2 2 1S1 2D1 1.000000000000000000000000E+00
2 2 1D1 2D1 1.000000000000000000000000E+00
2 2 1G1 2D1 1.000000000000000000000000E+00
2 3 4P1 3P1 -7.302967433402214325610657E-01
2 3 4P1 3F1 -6.831300510639731760065274E-01
2 3 4F1 3P1 -4.472135954999579277036048E-01
2 3 4F1 3F1 8.944271909999158554072096E-01
2 3 2P1 3P1 4.830458915396479424586573E-01
2 3 2P1 3F1 -5.163977794943221955037416E-01
2 3 2P1 1D1 7.071067811865475727373109E-01
2 3 2D1 3P1 -3.872983346207417021389574E-01
2 3 2D1 3F1 -5.916079783099615907460134E-01
2 3 2D1 1S1 5.163977794943221955037416E-01
2 3 2D1 1D1 -2.886751345948128655294340E-01
2 3 2D1 1G1 -3.872983346207417021389574E-01
2 3 2D2 3P1 -5.916079783099615907460134E-01
2 3 2D2 3F1 3.872983346207417021389574E-01
2 3 2D2 1D1 5.669467095138408518906203E-01
2 3 2D2 1G1 -4.225771273642582870344597E-01
2 3 2F1 3P1 6.324555320336758823529522E-01
2 3 2F1 3F1 3.162277660168379411764761E-01
2 3 2F1 1D1 -3.779644730092272530974640E-01
2 3 2F1 1G1 -5.976143046671967828942229E-01
2 3 2G1 3F1 7.071067811865475727373109E-01
2 3 2G1 1D1 -4.879500364742666018713635E-01
2 3 2G1 1G1 5.117663157191589817784916E-01
2 3 2H1 3F1 -7.071067811865475727373109E-01
2 3 2H1 1G1 7.071067811865475727373109E-01
2 4 5D1 4P1 5.477225575051660744207993E-01
2 4 5D1 4F1 8.366600265340755626652935E-01
2 4 3P1 4P1 -4.216370213557839030649177E-01
2 4 3P1 4F1 -3.944053188733077641714431E-01
2 4 3P1 2P1 -1.972026594366538820857215E-01
2 4 3P1 2D1 6.123724356957944703339081E-01
2 4 3P1 2D2 -3.118047822311617589541299E-01
2 4 3P1 2F1 -3.944053188733077641714431E-01
2 4 3P2 4P1 -3.944053188733077641714431E-01
2 4 3P2 4F1 4.216370213557839030649177E-01
2 4 3P2 2P1 5.270462766947299204645105E-01
2 4 3P2 2D2 3.333333333333333148296163E-01
2 4 3P2 2F1 -5.270462766947299204645105E-01
2 4 3D1 4P1 4.830458915396479424586573E-01
2 4 3D1 4F1 -3.162277660168379411764761E-01
