"Sc","{0, 1, 2, 3}"
"Ti","{-1, 0, 2, 3, 4}"
"V","{-1, 0, 1, 2, 3, 4, 5}"
"Cr","{-2, -1, 0, 1, 2, 3, 4, 5, 6}"
"Mn","{-3, -2, -1, 0, 1, 2, 3, 4, 5, 6, 7}"
"Fe","{-2, -1, 0, 1, 2, 3, 4, 5, 6}"
"Co","{-1, 0, 1, 2, 3, 4, 5}"
"Ni","{-1, 0, 1, 2, 3, 4}"
"Cu","{0, 1, 2, 3, 4}"
"Zn","{0, 2}"
"Y","{0, 1, 2, 3}"
"Zr","{0, 1, 2, 3, 4}"
"Nb","{-1, 0, 2, 3, 4, 5}"
"Mo","{-2, -1, 0, 1, 2, 3, 4, 5, 6}"
"Tc","{-3, -1, 0, 1, 2, 3, 4, 5, 6, 7}"
"Ru","{-2, 0, 1, 2, 3, 4, 5, 6, 7, 8}"
"Rh","{-1, 0, 1, 2, 3, 4, 5, 6}"
"Pd","{0, 2, 4}"
"Pd","{0, 2, 4}"
"Ag","{0, 1, 2, 3}"
"Cd","{0, 2}"
"Hf","{0, 2, 3, 4}"
"Ta","{-1, 0, 2, 3, 4, 5}"
"W","{-2, -1, 0, 1, 2, 3, 4, 5, 6}"
"Re","{-3, -1, 0, 1, 2, 3, 4, 5, 6, 7}"
"Os","{-2, 0, 1, 2, 3, 4, 5, 6, 7, 8}"
"Ir","{-3, -1, 0, 1, 2, 3, 4, 5, 6}"
"Pt","{0, 2, 4, 5, 6}"
"Au","{-1, 0, 1, 2, 3, 5}"
"Hg","{0, 1, 2, 4}"
"Rf","{0, 4}"
