Atom,II,III,IV,V
Sc,1.263,0.8346,,
Ti,0.95518,0.67162,0.53407,0.54253
V,0.77148,0.5677,0.45715,0.43983
Cr,0.63824,0.49097,0.40181,0.37076
Mn,0.56672,0.42774,0.35776,0.35678
Fe,0.50061,0.38932,0.3196,0.29145
Co,0.44544,0.35247,0.2947,0.27213
Ni,0.3991,0.32032,0.27053,0.24973
Cu,0.35835,0.29229,0.24895,0.22833
Zn,,0.267,0.22974,
Y,2.0855,1.5737,,
Zr,1.6108,1.2734,1.084,1.0426
Nb,1.3159,1.0769,0.9288,0.8716
Mo,1.1019,0.93157,0.81494,0.75201
Tc,0.97408,0.81449,0.72443,0.7039
Ru,0.86156,0.73648,0.64793,0.59591
Rh,0.7682,0.6656,0.5936,0.5522
Pd,0.68996,0.60447,0.54351,0.50708
Ag,0.62231,0.55157,0.49929,0.46547
Cd,,0.50472,0.46031,
La,0.78128,0.46412,,
Ce,0.56689,0.39823,0.32825,0.35695
Pr,0.47792,0.35387,0.29773,0.3095
Nd,0.42273,0.32363,0.27393,0.27363
Pm,0.37843,0.29999,0.25595,0.24631
Sm,0.34135,0.27868,0.24099,0.22828
Eu,0.32497,0.25923,0.227,0.22828
Gd,0.3066,0.24849,0.21385,0.20268
Tb,0.28863,0.23688,0.20589,0.19566
Dy,0.27291,0.22547,0.19738,0.18864
Ho,0.25898,0.21512,0.18897,0.18053
Er,0.24564,0.20569,0.18122,0.17223
Tm,0.23273,0.1966,0.17405,0.16508
Yb,,0.18779,0.16712,
Lu,2.1209,1.6197,,
Hf,1.7019,1.3646,1.176,1.1361
Ta,1.4353,1.1926,1.0417,0.9826
W,1.2359,1.061,0.93997,0.87281
Re,1.1178,0.95098,0.85633,0.83385
Os,1.0097,0.87795,0.78296,0.72473
Ir,0.91757,0.80875,0.73093,0.68411
Pt,0.83869,0.7474,0.68095,0.63934
Au,0.76904,0.69304,0.63566,0.5969
Hg,,0.6439,0.59478,
Ac,1.2362,0.86229,,
Th,0.92538,0.72768,0.63009,0.63261
Pa,0.77733,0.63818,0.56401,0.55482
U,0.68139,0.57554,0.51298,0.49371
Np,0.60693,0.52662,0.4735,0.44757
Pu,0.54648,0.48445,0.44071,0.41526
Am,0.5106,0.44754,0.41133,0.40197
Cm,0.47588,0.42284,0.38482,0.36182
Bk,0.44407,0.39879,0.36594,0.34552
Cf,0.41626,0.3763,0.34746,0.32974
Es,0.39168,0.35608,0.33004,0.31356
Fm,0.36911,0.3378,0.31411,0.29804
Md,0.3483,0.3208,0.29955,0.28455
No,,0.30492,0.28585,
