min, s, 6.000000e+01
hour, min, 6.000000e+01
s, ms, 1.000000e+03
s, μs, 1.000000e+06
s, ns, 1.000000e+09
s, ps, 1.000000e+12
s, fs, 1.000000e+15
Hz, kHz, 1.000000e-03
Hz, MHz, 1.000000e-06
Hz, GHz, 1.000000e-09
Hz, THz, 1.000000e-12
m, Tm, 1.000000e-12
m, Gm, 1.000000e-09
m, Mm, 1.000000e-06
m, km, 1.000000e-04
m, mm, 1.000000e+03
m, μm, 1.000000e+06
m, nm, 1.000000e+09
m, pm, 1.000000e+12
m, fm, 1.000000e+15
m, Å, 1.000000e+10
a_{0}, Å, 5.291772e-01
m, cm, 1.000000e+02
in, cm, 2.540000e+00
eV, J, 1.602176e-19
Ry, eV, 1.360569e+01
Ha, J, 4.359745e-18
Ha, eV, 2.721139e+01
Ha, Ry, 2.000000e+00
cal, J, 4.186800e+00
kcal, cal, 1.000000e+03
erg, J, 1.000000e-07
keV, eV, 1.000000e+03
MeV, eV, 1.000000e+06
GeV, eV, 1.000000e+09
TeV, eV, 1.000000e+12
kJ, J, 1.000000e+03
MJ, J, 1.000000e+06
GJ, J, 1.000000e+09
TJ, J, 1.000000e+12
kWh, J, 3.600000e+06
Btu, J, 1.055060e+03
kWh, Wh, 1.000000e+03
eV, cm^-1, 8.065544e+03
cm^{-1}, eV, 1.239842e-04
kg, g, 1.000000e+03
uma, kg, 1.660539e-27
g, mg, 1.000000e+03
g, μg, 1.000000e+06
g, ng, 1.000000e+09
T, G, 1.000000e+04
kT, T, 1.000000e+03
T, μT, 1.000000e+06
T, mT, 1.000000e+03
T, nT, 1.000000e+09
G, mG, 1.000000e+03
G, μG, 1.000000e+06
kG, G, 1.000000e+03
MG, G, 1.000000e+06
keV, cal, 3.826732e-17
cal, keV, 2.613196e+16
keV, TJ, 1.602176e-28
TJ, keV, 6.241512e+27
eV, keV, 1.000000e-03
keV, kcal, 3.826732e-20
kcal, keV, 2.613196e+19
keV, GeV, 1.000000e-06
GeV, keV, 1.000000e+06
keV, J, 1.602176e-16
J, keV, 6.241512e+15
keV, erg, 1.602176e-09
erg, keV, 6.241512e+08
keV, GJ, 1.602176e-25
GJ, keV, 6.241512e+24
keV, MeV, 1.000000e-03
MeV, keV, 1.000000e+03
keV, cm^{-1}, 8.065544e+06
cm^{-1}, keV, 1.239842e-07
keV, kWh, 4.450489e-23
kWh, keV, 2.246944e+22
keV, Ry, 7.349864e+01
Ry, keV, 1.360569e-02
keV, TeV, 1.000000e-09
TeV, keV, 1.000000e+09
keV, Ha, 3.674932e+01
Ha, keV, 2.721139e-02
keV, kJ, 1.602176e-19
kJ, keV, 6.241512e+18
keV, cm^-1, 8.065544e+06
cm^-1, keV, 1.239842e-07
keV, Wh, 4.450489e-20
Wh, keV, 2.246944e+19
keV, MJ, 1.602176e-22
MJ, keV, 6.241512e+21
keV, Btu, 1.518564e-19
Btu, keV, 6.585169e+18
mT, G, 1.000000e+01
G, mT, 1.000000e-01
mT, mG, 1.000000e+04
mG, mT, 1.000000e-04
mT, kG, 1.000000e-02
kG, mT, 1.000000e+02
mT, μT, 1.000000e+03
μT, mT, 1.000000e-03
mT, nT, 1.000000e+06
nT, mT, 1.000000e-06
mT, MG, 1.000000e-05
MG, mT, 1.000000e+05
mT, μG, 1.000000e+07
μG, mT, 1.000000e-07
mT, T, 1.000000e-03
mT, kT, 1.000000e-06
kT, mT, 1.000000e+06
cal, TJ, 4.186800e-12
TJ, cal, 2.388459e+11
cal, eV, 2.613196e+19
eV, cal, 3.826732e-20
cal, kcal, 1.000000e-03
cal, GeV, 2.613196e+10
GeV, cal, 3.826732e-11
J, cal, 2.388459e-01
cal, erg, 4.186800e+07
erg, cal, 2.388459e-08
cal, GJ, 4.186800e-09
GJ, cal, 2.388459e+08
cal, MeV, 2.613196e+13
MeV, cal, 3.826732e-14
cal, cm^{-1}, 2.107685e+23
cm^{-1}, cal, 4.744543e-24
cal, kWh, 1.163000e-06
kWh, cal, 8.598452e+05
cal, Ry, 1.920664e+18
Ry, cal, 5.206534e-19
cal, TeV, 2.613196e+07
TeV, cal, 3.826732e-08
cal, Ha, 9.603315e+17
Ha, cal, 1.041307e-18
cal, kJ, 4.186800e-03
kJ, cal, 2.388459e+02
cal, cm^-1, 2.107685e+23
cm^-1, cal, 4.744542e-24
cal, Wh, 1.163000e-03
Wh, cal, 8.598452e+02
cal, MJ, 4.186800e-06
MJ, cal, 2.388459e+05
cal, Btu, 3.968305e-03
Btu, cal, 2.519968e+02
μm, mm, 1.000000e-03
mm, μm, 1.000000e+03
μm, Tm, 1.000000e-18
Tm, μm, 1.000000e+18
μm, km, 1.000000e-10
km, μm, 1.000000e+10
μm, a_{0}, 1.889726e+04
a_{0}, μm, 5.291772e-05
μm, cm, 1.000000e-04
cm, μm, 1.000000e+04
μm, nm, 1.000000e+03
nm, μm, 1.000000e-03
μm, in, 3.937008e-05
in, μm, 2.540000e+04
μm, Gm, 1.000000e-15
Gm, μm, 1.000000e+15
μm, m, 1.000000e-06
μm, Å, 1.000000e+04
Å, μm, 1.000000e-04
μm, pm, 1.000000e+06
pm, μm, 1.000000e-06
μm, fm, 1.000000e+09
fm, μm, 1.000000e-09
μm, Mm, 1.000000e-12
Mm, μm, 1.000000e+12
TJ, eV, 6.241512e+30
eV, TJ, 1.602176e-31
TJ, kcal, 2.388459e+08
kcal, TJ, 4.186800e-09
TJ, GeV, 6.241512e+21
GeV, TJ, 1.602176e-22
J, TJ, 1.000000e-12
TJ, erg, 1.000000e+19
erg, TJ, 1.000000e-19
TJ, GJ, 1.000000e+03
GJ, TJ, 1.000000e-03
TJ, MeV, 6.241512e+24
MeV, TJ, 1.602176e-25
TJ, cm^{-1}, 5.034119e+34
cm^{-1}, TJ, 1.986445e-35
TJ, kWh, 2.777778e+05
kWh, TJ, 3.600000e-06
TJ, Ry, 4.587426e+29
Ry, TJ, 2.179871e-30
TJ, TeV, 6.241512e+18
TeV, TJ, 1.602176e-19
TJ, Ha, 2.293712e+29
Ha, TJ, 4.359745e-30
TJ, kJ, 1.000000e+09
kJ, TJ, 1.000000e-09
TJ, cm^-1, 5.034119e+34
cm^-1, TJ, 1.986445e-35
TJ, Wh, 2.777778e+08
Wh, TJ, 3.600000e-09
TJ, MJ, 1.000000e+06
MJ, TJ, 1.000000e-06
TJ, Btu, 9.478134e+08
Btu, TJ, 1.055060e-09
mm, Tm, 1.000000e-15
Tm, mm, 1.000000e+15
mm, km, 1.000000e-07
km, mm, 1.000000e+07
mm, a_{0}, 1.889726e+07
a_{0}, mm, 5.291772e-08
mm, cm, 1.000000e-01
cm, mm, 1.000000e+01
mm, nm, 1.000000e+06
nm, mm, 1.000000e-06
mm, in, 3.937008e-02
in, mm, 2.540000e+01
mm, Gm, 1.000000e-12
Gm, mm, 1.000000e+12
mm, m, 1.000000e-03
mm, Å, 1.000000e+07
Å, mm, 1.000000e-07
mm, pm, 1.000000e+09
pm, mm, 1.000000e-09
mm, fm, 1.000000e+12
fm, mm, 1.000000e-12
mm, Mm, 1.000000e-09
Mm, mm, 1.000000e+09
eV, kcal, 3.826732e-23
kcal, eV, 2.613196e+22
eV, GeV, 1.000000e-09
J, eV, 6.241512e+18
eV, erg, 1.602176e-12
erg, eV, 6.241512e+11
eV, GJ, 1.602176e-28
GJ, eV, 6.241512e+27
eV, MeV, 1.000000e-06
eV, cm^{-1}, 8.065544e+03
eV, kWh, 4.450489e-26
kWh, eV, 2.246944e+25
eV, Ry, 7.349864e-02
eV, TeV, 1.000000e-12
eV, Ha, 3.674932e-02
eV, kJ, 1.602176e-22
kJ, eV, 6.241512e+21
cm^-1, eV, 1.239842e-04
eV, Wh, 4.450489e-23
Wh, eV, 2.246944e+22
eV, MJ, 1.602176e-25
MJ, eV, 6.241512e+24
eV, Btu, 1.518564e-22
Btu, eV, 6.585169e+21
MHz, kHz, 1.000000e+03
kHz, MHz, 1.000000e-03
MHz, GHz, 1.000000e-03
GHz, MHz, 1.000000e+03
MHz, THz, 1.000000e-06
THz, MHz, 1.000000e+06
MHz, Hz, 1.000000e+06
fs, ns, 1.000000e-06
ns, fs, 1.000000e+06
fs, ms, 1.000000e-12
ms, fs, 1.000000e+12
fs, min, 1.666667e-17
min, fs, 6.000000e+16
fs, hour, 2.777778e-19
hour, fs, 3.600000e+18
fs, μs, 1.000000e-09
μs, fs, 1.000000e+09
fs, ps, 1.000000e-03
ps, fs, 1.000000e+03
fs, s, 1.000000e-15
kHz, GHz, 1.000000e-06
GHz, kHz, 1.000000e+06
kHz, THz, 1.000000e-09
THz, kHz, 1.000000e+09
kHz, Hz, 1.000000e+03
Tm, km, 1.000000e+08
km, Tm, 1.000000e-08
Tm, a_{0}, 1.889726e+22
a_{0}, Tm, 5.291772e-23
Tm, cm, 1.000000e+14
cm, Tm, 1.000000e-14
Tm, nm, 1.000000e+21
nm, Tm, 1.000000e-21
Tm, in, 3.937008e+13
in, Tm, 2.540000e-14
Tm, Gm, 1.000000e+03
Gm, Tm, 1.000000e-03
Tm, m, 1.000000e+12
Tm, Å, 1.000000e+22
Å, Tm, 1.000000e-22
Tm, pm, 1.000000e+24
pm, Tm, 1.000000e-24
Tm, fm, 1.000000e+27
fm, Tm, 1.000000e-27
Tm, Mm, 1.000000e+06
Mm, Tm, 1.000000e-06
mg, ng, 1.000000e+06
ng, mg, 1.000000e-06
mg, uma, 6.022141e+20
uma, mg, 1.660539e-21
mg, μg, 1.000000e+03
μg, mg, 1.000000e-03
mg, g, 1.000000e-03
mg, kg, 1.000000e-06
kg, mg, 1.000000e+06
km, a_{0}, 1.889726e+14
a_{0}, km, 5.291772e-15
km, cm, 1.000000e+06
cm, km, 1.000000e-06
km, nm, 1.000000e+13
nm, km, 1.000000e-13
km, in, 3.937008e+05
in, km, 2.540000e-06
km, Gm, 1.000000e-05
Gm, km, 1.000000e+05
km, m, 1.000000e+04
km, Å, 1.000000e+14
Å, km, 1.000000e-14
km, pm, 1.000000e+16
pm, km, 1.000000e-16
km, fm, 1.000000e+19
fm, km, 1.000000e-19
km, Mm, 1.000000e-02
Mm, km, 1.000000e+02
ns, ms, 1.000000e-06
ms, ns, 1.000000e+06
ns, min, 1.666667e-11
min, ns, 6.000000e+10
ns, hour, 2.777778e-13
hour, ns, 3.600000e+12
ns, μs, 1.000000e-03
μs, ns, 1.000000e+03
ns, ps, 1.000000e+03
ps, ns, 1.000000e-03
ns, s, 1.000000e-09
ms, min, 1.666667e-05
min, ms, 6.000000e+04
ms, hour, 2.777778e-07
hour, ms, 3.600000e+06
ms, μs, 1.000000e+03
μs, ms, 1.000000e-03
ms, ps, 1.000000e+09
ps, ms, 1.000000e-09
ms, s, 1.000000e-03
kcal, GeV, 2.613196e+13
GeV, kcal, 3.826732e-14
kcal, J, 4.186800e+03
J, kcal, 2.388459e-04
kcal, erg, 4.186800e+10
erg, kcal, 2.388459e-11
kcal, GJ, 4.186800e-06
GJ, kcal, 2.388459e+05
kcal, MeV, 2.613196e+16
MeV, kcal, 3.826732e-17
kcal, cm^{-1}, 2.107685e+26
cm^{-1}, kcal, 4.744543e-27
kcal, kWh, 1.163000e-03
kWh, kcal, 8.598452e+02
kcal, Ry, 1.920664e+21
Ry, kcal, 5.206534e-22
kcal, TeV, 2.613196e+10
TeV, kcal, 3.826732e-11
kcal, Ha, 9.603315e+20
Ha, kcal, 1.041307e-21
kcal, kJ, 4.186800e+00
kJ, kcal, 2.388459e-01
kcal, cm^-1, 2.107685e+26
cm^-1, kcal, 4.744542e-27
kcal, Wh, 1.163000e+00
Wh, kcal, 8.598452e-01
kcal, MJ, 4.186800e-03
MJ, kcal, 2.388459e+02
kcal, Btu, 3.968305e+00
Btu, kcal, 2.519968e-01
a_{0}, cm, 5.291772e-09
cm, a_{0}, 1.889726e+08
a_{0}, nm, 5.291772e-02
nm, a_{0}, 1.889726e+01
a_{0}, in, 2.083375e-09
in, a_{0}, 4.799904e+08
a_{0}, Gm, 5.291772e-20
Gm, a_{0}, 1.889726e+19
a_{0}, m, 5.291772e-11
m, a_{0}, 1.889726e+10
Å, a_{0}, 1.889726e+00
a_{0}, pm, 5.291772e+01
pm, a_{0}, 1.889726e-02
a_{0}, fm, 5.291772e+04
fm, a_{0}, 1.889726e-05
a_{0}, Mm, 5.291772e-17
Mm, a_{0}, 1.889726e+16
min, hour, 1.666667e-02
min, μs, 6.000000e+07
μs, min, 1.666667e-08
min, ps, 6.000000e+13
ps, min, 1.666667e-14
s, min, 1.666667e-02
GeV, J, 1.602176e-10
J, GeV, 6.241512e+09
GeV, erg, 1.602176e-03
erg, GeV, 6.241512e+02
GeV, GJ, 1.602176e-19
GJ, GeV, 6.241512e+18
GeV, MeV, 1.000000e+03
MeV, GeV, 1.000000e-03
GeV, cm^{-1}, 8.065544e+12
cm^{-1}, GeV, 1.239842e-13
GeV, kWh, 4.450489e-17
kWh, GeV, 2.246944e+16
GeV, Ry, 7.349864e+07
Ry, GeV, 1.360569e-08
GeV, TeV, 1.000000e-03
TeV, GeV, 1.000000e+03
GeV, Ha, 3.674932e+07
Ha, GeV, 2.721139e-08
GeV, kJ, 1.602176e-13
kJ, GeV, 6.241512e+12
GeV, cm^-1, 8.065544e+12
cm^-1, GeV, 1.239842e-13
GeV, Wh, 4.450489e-14
Wh, GeV, 2.246944e+13
GeV, MJ, 1.602176e-16
MJ, GeV, 6.241512e+15
GeV, Btu, 1.518564e-13
Btu, GeV, 6.585169e+12
hour, μs, 3.600000e+09
μs, hour, 2.777778e-10
hour, ps, 3.600000e+15
ps, hour, 2.777778e-16
hour, s, 3.600000e+03
s, hour, 2.777778e-04
J, erg, 1.000000e+07
J, GJ, 1.000000e-09
J, MeV, 6.241512e+12
MeV, J, 1.602176e-13
J, cm^{-1}, 5.034119e+22
cm^{-1}, J, 1.986445e-23
J, kWh, 2.777778e-07
J, Ry, 4.587426e+17
Ry, J, 2.179871e-18
J, TeV, 6.241512e+06
TeV, J, 1.602176e-07
J, Ha, 2.293712e+17
J, kJ, 1.000000e-03
J, cm^-1, 5.034119e+22
cm^-1, J, 1.986445e-23
J, Wh, 2.777778e-04
Wh, J, 3.600000e+03
J, MJ, 1.000000e-06
J, Btu, 9.478134e-04
erg, GJ, 1.000000e-16
GJ, erg, 1.000000e+16
erg, MeV, 6.241512e+05
MeV, erg, 1.602176e-06
erg, cm^{-1}, 5.034119e+15
cm^{-1}, erg, 1.986445e-16
erg, kWh, 2.777778e-14
kWh, erg, 3.600000e+13
erg, Ry, 4.587426e+10
Ry, erg, 2.179871e-11
erg, TeV, 6.241512e-01
TeV, erg, 1.602176e+00
erg, Ha, 2.293712e+10
Ha, erg, 4.359745e-11
erg, kJ, 1.000000e-10
kJ, erg, 1.000000e+10
erg, cm^-1, 5.034119e+15
cm^-1, erg, 1.986445e-16
erg, Wh, 2.777778e-11
Wh, erg, 3.600000e+10
erg, MJ, 1.000000e-13
MJ, erg, 1.000000e+13
erg, Btu, 9.478134e-11
Btu, erg, 1.055060e+10
